Age_yrs_BP,Global_C,1sig_uncertainty_C,year_AD
-50,NaN,NaN,2000
-30,NaN,NaN,1980
-10,NaN,NaN,1960
10,0.28,0.23,1940
30,-0.2,0.21,1920
50,-0.16,0.2,1900
70,-0.22,0.2,1880
90,-0.19,0.19,1860
110,-0.17,0.18,1840
130,-0.19,0.17,1820
150,-0.24,0.16,1800
170,-0.21,0.17,1780
190,-0.23,0.17,1760
210,-0.33,0.17,1740
230,-0.3,0.17,1720
250,-0.31,0.16,1700
270,-0.3,0.16,1680
290,-0.29,0.15,1660
310,-0.29,0.15,1640
330,-0.28,0.14,1620
350,-0.28,0.14,1600
370,-0.26,0.14,1580
390,-0.24,0.15,1560
410,-0.18,0.15,1540
430,-0.24,0.15,1520
450,-0.24,0.14,1500
470,-0.24,0.14,1480
490,-0.25,0.14,1460
510,-0.29,0.14,1440
530,-0.25,0.14,1420
550,-0.17,0.14,1400
570,-0.17,0.14,1380
590,-0.17,0.13,1360
610,-0.15,0.13,1340
630,-0.13,0.13,1320
650,-0.14,0.13,1300
670,-0.16,0.13,1280
690,-0.13,0.13,1260
710,-0.12,0.14,1240
730,-0.16,0.13,1220
750,-0.14,0.13,1200
770,-0.13,0.13,1180
790,-0.09,0.13,1160
810,-0.07,0.13,1140
830,-0.06,0.13,1120
850,-0.08,0.13,1100
870,-0.09,0.13,1080
890,-0.09,0.13,1060
910,-0.08,0.13,1040
930,-0.08,0.13,1020
950,-0.08,0.13,1000
970,-0.08,0.13,980
990,-0.07,0.13,960
1010,-0.06,0.12,940
1030,-0.05,0.12,920
1050,-0.04,0.12,900
1070,-0.03,0.12,880
1090,-0.04,0.12,860
1110,-0.03,0.12,840
1130,-0.03,0.12,820
1150,-0.02,0.12,800
1170,-0.02,0.12,780
1190,-0.01,0.12,760
1210,-0.02,0.12,740
1230,-0.03,0.12,720
1250,-0.04,0.12,700
1270,-0.04,0.12,680
1290,-0.04,0.12,660
1310,-0.03,0.12,640
1330,-0.03,0.12,620
1350,-0.02,0.11,600
1370,-0.02,0.12,580
1390,-0.02,0.12,560
1410,-0.02,0.12,540
1430,-0.02,0.12,520
1450,-0.05,0.12,500
1470,-0.05,0.12,480
1490,-0.06,0.12,460
1510,-0.05,0.12,440
1530,-0.04,0.12,420
1550,-0.05,0.12,400
