Country_Name,Country_Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.016421779,,,,,,,
Afghanistan,AFG,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133624466,0.13756709,0.108152489,0.135968132,0.16012746,0.1939684,0.346334138,0.46057897,0.531062425,0.723810211,0.555766729,0.498062943,0.475068194,,,
Angola,AGO,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,,,,,,,,,,,,,,,,,,,,,0.256564053,0.265059204,0.233399354,0.2464262,0.227644676,0.206421284,0.198882522,0.238438015,0.19817844,0.193423247,0.204588087,0.201563264,0.218533181,0.319535971,0.212410709,0.521038603,0.437267401,0.287703905,0.272081696,0.333609446,0.337333603,0.330187411,0.378052876,0.258784256,0.486687873,0.41030639,0.400802048,0.36752335,0.330062811,0.348396536,0.352098217,0.353940954,0.370437625,0.338604792,0.344661151,,,
Albania,ALB,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,,,,,,,,,,,,,,,,,,,,,0.916814108,1.231016282,1.190382658,1.229359791,1.276648258,1.263130038,1.222431819,1.138480859,1.136675607,1.268996025,0.861502557,0.951004822,0.601373584,0.509505774,0.387739927,0.37090576,0.328616412,0.282116282,0.293840859,0.440867761,0.418391269,0.413485733,0.461688266,0.49963547,0.458522284,0.442873386,0.384934183,0.366223936,0.393155325,0.380720792,0.385548421,0.428427437,0.39582403,0.404194723,0.44833708,,,
Andorra,AND,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208698357,0.203516813,0.201643121,0.205580253,0.199002121,0.202385405,0.206730584,0.194129137,0.198487896,0.199209649,0.196543657,0.187995918,0.179039556,0.160717098,0.156457078,0.14948973,0.135715868,0.133840627,0.146417933,0.145823533,0.154080435,0.153566589,0.154922913,0.150897786,0.142997742,,,
Arab World,ARB,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,,,,,,,,,,,,,,,,0.535107555,0.560250277,0.546454163,0.593532771,0.569585388,0.582060231,0.554258575,0.583871814,0.666493374,0.719426117,0.777991492,0.822620497,0.829426982,0.832546495,0.828382479,0.703222365,0.763299305,0.782775427,0.83681062,0.832902681,0.778898149,0.741311791,0.687343059,0.711258906,0.708665877,0.764630623,0.748735888,0.759429537,0.776152931,0.777841058,0.774380661,0.762307863,0.71758112,0.74427646,0.78520214,0.780051804,0.757567883,0.770558187,0.738048777,0.769317538,,,
United Arab Emirates,ARE,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,,,,,,,,,,,,,,,,0.54695142,0.599006755,0.482490379,0.566489567,0.382679565,0.311431079,0.297182534,0.318716364,0.320719354,0.404756014,0.451803775,0.502630712,0.490905998,0.511239902,0.512676325,0.413555986,0.449462529,0.443502945,0.497070745,0.515398387,0.466642106,0.256365757,0.240343976,0.46894896,0.438272395,0.567824498,0.504530784,0.411386137,0.476930776,0.461359256,0.451295565,0.43820843,0.464977127,0.52277826,0.588885889,0.55493321,0.533901845,0.544794289,0.501888098,0.595257645,,,
Argentina,ARG,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,0.422371464,0.420037454,0.444469677,0.437811129,0.442334424,0.422584922,0.456262885,0.458995235,0.461519178,0.471022588,0.489051169,0.4975734,0.496302543,0.503659565,0.484877466,0.481777119,0.516848128,0.48819982,0.520611136,0.509434071,0.480442341,0.478056367,0.509805016,0.499278273,0.494552165,0.505381847,0.485323341,0.5201554,0.564134636,0.587850192,0.576872426,0.534604045,0.494926092,0.454132319,0.44539463,0.479244418,0.479119563,0.453032551,0.441962888,0.480905222,0.46874259,0.461328024,0.482862808,0.480469364,0.514176202,0.485916781,0.486695169,0.445815394,0.462504098,0.467825073,0.443595179,0.426742488,0.432793453,0.417125085,0.459818105,,,
Armenia,ARM,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.783365399,0.857737451,0.861662781,1.015748576,0.721151321,0.880701786,0.853355331,0.740511941,0.80388902,0.75007157,0.56938996,0.56244892,0.541280013,0.567666626,0.504860952,0.512919484,0.52671661,0.48119301,0.455390955,0.507187634,0.547919237,0.511972229,0.497148756,,,
American Samoa,ASM,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,CO2 emissions (kg per 2010 US$ of GDP),EN.ATM.CO2E.KD.GD,,,,,,,,,,,,,,,,,,1.442703831,1.458296735,1.117685928,0.363068833,0.260053438,0.717991972,0.195913854,0.309281299,0.488442673,0.438089427,0.45315888,0.447933271,0.425580595,0.407841687,0.378417438,0.368959878,0.36019045,0.333085569,0.357809902,0.358017492,0.356418254,0.35247097,0.351588606,0.344182931,0.365975133,0.385145078,0.395505571,0.391050633,0.373877005,0.343000305,0.332093376,0.339979261,0.410434909,0.45500657,0.454919328,0.448925535,0.44939263,0.433557972,,,
