time_ka,nominal_esl_m,esl_m,sigma_esl,
0,0,0,0,
0.122,-0.21,-0.16,0.07,1828
0.192,-0.21,-0.16,0.07,1758
0.296,-0.21,-0.16,0.07,1654
0.365,-0.21,-0.16,0.07,1585
0.435,-0.21,-0.16,0.07,1515
0.504,-0.21,-0.17,0.07,1446
0.574,-0.21,-0.17,0.07,1376
0.643,-0.21,-0.17,0.07,1307
0.712,-0.21,-0.18,0.07,1238
0.782,-0.21,-0.18,0.07,1168
0.851,-0.21,-0.19,0.07,1099
0.921,-0.21,-0.19,0.07,1029
0.99,-0.21,-0.2,0.07,960
1.06,-0.21,-0.2,0.07,890
1.129,-0.22,-0.2,0.07,821
1.199,-0.22,-0.21,0.07,751
1.268,-0.23,-0.21,0.07,682
1.372,-0.23,-0.22,0.07,578
1.442,-0.24,-0.22,0.07,508
1.511,-0.24,-0.23,0.07,439
1.581,-0.25,-0.23,0.07,369
1.65,-0.25,-0.24,0.07,300
1.72,-0.26,-0.24,0.07,230
1.789,-0.26,-0.24,0.07,161
1.859,-0.27,-0.25,0.07,91
1.928,-0.28,-0.25,0.07,22
1.997,-0.28,-0.26,0.07,-47
2.067,-0.29,-0.26,0.07,-117
2.136,-0.29,-0.27,0.07,-186
2.206,-0.3,-0.27,0.07,-256
2.275,-0.3,-0.27,0.07,-325
2.345,-0.33,-0.28,0.07,-395
2.414,-0.38,-0.29,0.07,-464
2.484,-0.42,-0.32,0.07,-534
2.553,-0.47,-0.35,0.07,-603
2.623,-0.52,-0.38,0.07,-673
2.692,-0.56,-0.41,0.07,-742
2.762,-0.61,-0.44,0.07,-812
2.831,-0.65,-0.47,0.07,-881
2.901,-0.7,-0.51,0.07,-951
2.97,-0.74,-0.54,0.07,-1020
3.039,-0.79,-0.57,0.07,-1089
3.109,-0.83,-0.6,0.07,-1159
3.178,-0.88,-0.63,0.07,-1228
3.248,-0.93,-0.67,0.07,-1298
3.317,-0.97,-0.7,0.07,-1367
3.387,-1.02,-0.73,0.07,-1437
3.456,-1.06,-0.76,0.07,-1506
3.526,-1.11,-0.8,0.07,-1576
3.595,-1.15,-0.83,0.07,-1645
3.665,-1.2,-0.86,0.07,-1715
3.734,-1.26,-0.89,0.07,-1784
3.803,-1.32,-0.93,0.07,-1853
3.873,-1.38,-0.96,0.07,-1923
3.942,-1.44,-0.99,0.07,-1992
4.012,-1.5,-1.02,0.07,-2062
4.081,-1.56,-1.06,0.07,-2131
4.151,-1.61,-1.09,0.07,-2201
4.22,-1.67,-1.12,0.07,-2270
4.29,-1.73,-1.15,0.07,-2340
4.359,-1.79,-1.19,0.07,-2409
4.429,-1.85,-1.22,0.07,-2479
4.498,-1.91,-1.25,0.07,-2548
4.568,-1.97,-1.28,0.07,-2618
4.637,-2.03,-1.32,0.07,-2687
4.707,-2.09,-1.36,0.07,-2757
4.776,-2.15,-1.43,0.07,-2826
4.845,-2.21,-1.52,0.07,-2895
4.915,-2.26,-1.6,0.07,-2965
4.984,-2.32,-1.69,0.07,-3034
5.054,-2.38,-1.77,0.07,-3104
5.123,-2.44,-1.86,0.07,-3173
5.193,-2.5,-1.94,0.07,-3243
5.262,-2.56,-2.03,0.07,-3312
5.332,-2.62,-2.11,0.07,-3382
5.401,-2.68,-2.2,0.07,-3451
5.47,-2.74,-2.28,0.07,-3520
5.54,-2.8,-2.37,0.07,-3590
5.609,-2.86,-2.45,0.07,-3659
5.679,-2.91,-2.54,0.07,-3729
5.748,-2.97,-2.62,0.07,-3798
5.818,-3.03,-2.71,0.07,-3868
5.887,-3.09,-2.79,0.07,-3937
