Sample Type CH4,CH4 gas age years AD,CH4 ppb,CH4 ppb NOAA04 Scale,Sample Type CO2,CO2 gas age years AD,CO2 ppm,Sample Type NO2,N2O gas age years AD,N2O ppb,keeling_year,keeling_CO2ppm
DSS,1,647.6,655.5,DSS,1,276.7,DSS,1,264.2,13.3,276.75
DSS,31,633.9,641.6,DSS,30,277.9,DSS,30,263.1,29.5,277.88
DSS,57,628.4,636.1,DSS,56,277.4,DSS,56,264.2,56,277.38
DSS,105,632,639.7,DSS,104,277.5,DSS,136,266.1,104.5,277.51
DSS,137,638.8,646.6,DSS,136,278.1,DSS,168,265.1,136,278.13
DSS,169,640.9,648.7,DSS,168,280.1,DSS,228,268.3,168.2,280.05
DSS,203,640.8,648.6,DSS,202,280.7,DSS,302,262.3,202.5,280.72
DSS,229,632,639.7,DSS,228,281.5,DSS,329,261.4,227.9,281.49
DSS,275,626.9,634.5,DSS,274,280.1,DSS,365,263.8,274.2,280.13
DSS,303,624.1,631.7,DSS,302,279.8,DSS,428,263.5,302.3,279.83
DSS,330,619.4,627,DSS,329,278.9,DSS,500,261.7,329.2,278.92
DSS,366,620.8,628.3,DSS,365,277,DSS,537,260.2,364.6,277.05
DSS,429,636.3,644,DSS,428,276.9,DSS,572,264.7,428.4,276.91
DSS,462,639.3,647.1,DSS,461,276.7,DSS,596,261.1,461.2,276.72
DSS,501,659.8,667.8,DSS,500,276.4,DSS,632,262.3,499.8,276.36
DSS,538,657.3,665.4,DSS,537,276,DSS,668,261.2,536.7,276
DSS,573,652,660,DSS,572,277.6,DSS,799,270.7,572,277.56
DSS,597,645.3,653.2,DSS,596,276.9,DSS,857,269.4,595.6,276.9
DSS,633,633.6,641.3,DSS,632,278.3,DSS,897,272.1,632,278.25
DSS,669,642,649.9,DSS,668,279.4,DSS,968,266.8,667.9,279.39
DSS,699,649.7,657.6,DSS,698,279.7,DSS,1105,268.3,698.4,279.7
DSS,731,649.7,657.7,DSS,730,278.5,DSS,1207,267.7,729.7,278.53
DSS,765,643.4,651.3,DSS,764,278.5,DSS,1258,267.6,764.5,278.53
DSS,800,642.6,650.4,DSS,799,278.5,DSS,1330,269.7,799.2,278.55
DSS,831,657.4,665.4,DSS,857,279.3,DSS,1411,266.2,857.3,279.34
DSS,858,657.3,665.3,DSS,897,278.9,DSS,1449,267,897.4,278.91
DSS,898,647.1,655,DSS,944,279.1,DSS,1459,266.5,944.2,279.12
DSS,945,647.4,655.3,DSS,968,278.5,DSS,1502,268.5,968.2,278.46
DSS,969,654,662,DSS,1005,280.5,DSS,1530,272.7,1005,280.5
DSS,1005,661.2,669.3,DSS,1025,280.8,DSS,1535,270.6,1025.2,280.83
DSS,1026,679.9,688.2,DSS,1058,282.8,DSS,1550,270.1,1058,282.76
DSS,1059,671.6,679.8,DSS,1105,282.8,DSS,1560,270.1,1105.4,282.75
DSS,1106,675.9,684.1,DSS,1160,283.9,DSS,1573,269.6,1159.6,283.88
DSS,1161,688.6,697,DSS,1207,283.6,DSS,1591,268.3,1207.4,283.6
DSS,1208,677.9,686.2,DSS,1258,282.1,DSS,1610,266.2,1257.6,282.11
DSS,1259,669.3,677.5,DSS,1276,281.1,DSS,1667,267,1275.8,281.13
DSS,1277,686.2,694.5,DSS,1306,281.5,DSS,1682,270.1,1306.5,281.5
DSS,1307,688.8,697.2,DSS,1350,280.1,DSS,1723,269.8,1349.7,280.06
DSS,1351,668.5,676.6,DSS,1411,279.6,DSS,1749,270.9,1411.3,279.62
DSS,1358,667.3,675.4,DSS,1429,279.5,DSS,1763,274.8,1429.3,279.54
DSS,1412,664.7,672.9,DSS,1431,282.5,DSS,1763,273.8,1431,282.52
DSS,1430,685.7,694,DSS,1560,281.7,DSS,1794,271.9,1560.4,281.75
DSS,1460,681.7,690,DSS,1588,281,DSS,1796,272.3,1588.3,281.03
DSS,1507,699.8,708.3,DSS,1610,271.8,DSS,1799,272.7,1610.4,271.83
DSS,1536,699.9,708.5,DSS,1629,274.5,DSS,1814,271.3,1628.9,274.5
DSS,1561,713.4,722.1,DSS,1640,276.6,DE08-2,1833,273.1,1640.1,276.62
DSS,1589,672.8,681,DSS,1690,276.3,DSS,1836,268.1,1689.6,276.25
DSS,1611,679.3,687.6,DSS,1723,276.9,DE08,1841,270.4,1722.8,276.94
DSS,1630,684.4,692.8,DSS,1734,278.2,DE08,1846,270.5,1734.1,278.23
DSS,1641,687.1,695.4,DSS,1743,276.7,DE08,1855,270.5,1742.7,276.74
DSS,1668,681.2,689.5,DSS,1752,276.4,DE08,1862,272.3,1752,276.39
DSS,1691,684.6,693,DSS,1763,276.3,DE08,1864,272.1,1763.5,276.32
DSS,1724,675.5,683.8,DSS,1774,277.8,DE08,1870,272.9,1773.7,277.78
DSS,1735,703.2,711.8,DSS,1781,276.8,DE08,1873,272.6,1780.6,276.78
DSS,1744,706.4,715,DSS,1794,281.5,DE08,1878,275.8,1794.4,281.54
DSS,1750,692.9,701.3,DSS,1800,281.1,DE08,1883,275.9,1799.6,281.15
DSS,1753,697.8,706.3,DSS,1814,284.3,DE08,1887,278.3,1814.2,284.34
DSS,1764,706.1,714.7,DSS,1826,281.3,DE08,1893,277.5,1826.2,281.28
DSS,1775,720.8,729.6,DSS,1835,283.7,DE08,1894,278.8,1834.5,283.73
DSS,1782,718.6,727.4,DSS,1838,284.1,DE08,1899,276.7,1838,284.07
DSS,1785,723,731.8,DE08,1844,286.5,DSS,1901,277,1844,286.5
DSS,1795,717.8,726.6,DE08,1846,283.3,DE08,1902,276.4,1846,284.13
DSS,1801,730.2,739.2,DE08,1846,285,DSS,1905,279.7,1849,287.73
DSS,1815,736.4,745.4,DE08,1849,287.7,DE08,1912,280.8,1852.3,288.57
DSS,1821,738.7,747.8,DSS,1852,288.6,DE08,1913,282.4,1854,287.03
DSS,1827,751.6,760.7,DE08,1854,287,DE08,1916,282.2,1859,286.48
DE08,1835,750.6,759.7,DE08,1859,286.5,DE08,1919,285.5,1864,285.41
DSS,1836,767.3,776.7,DE08,1864,285.4,DE08,1924,286.5,1867,285.22
DSS,1839,765,774.3,DE08,1867,285.2,DE08,1925,283,1869.1,287.69
DE08,1842,766.9,776.3,DSS,1869,287.7,DE08,1925,283.5,1873,287.17
DE08-2,1845,778,787.5,DE08,1873,287.2,DSS,1927,283.1,1874,290.52
DE08,1847,769,778.4,DE08,1874,290.5,DE08,1929,285.5,1884,289.81
DE08,1847,770.4,779.8,DE08,1884,289.8,DE08,1933,285.3,1884.4,289.01
DE08-2,1850,806.5,816.4,DSS,1884,289,DE08-2,1935,288.7,1886,290.62
DSS,1853,775.4,784.8,DE08,1886,290.6,DE08,1938,285.1,1889,291.87
DE08,1855,786.4,796,DE08,1889,291.5,DE08,1939,286.5,1894,293.84
DE08,1860,786.2,795.8,DE08,1889,292.2,DE08,1940,287.9,1896,298.16
DE08,1865,804.1,813.9,DE08,1894,293.8,DE08-2,1941,289.9,1899,296.1
DE08,1868,815.8,825.8,DE08-2,1896,298.2,DSSW20K,1942,288.7,1902,295.32
DSS,1870,802.1,811.9,DE08,1899,296,DE08,1945,286.8,1904,295.12
DE08,1874,817,826.9,DE08,1899,296.2,DE08,1945,287.6,1909,300.45
DE08,1875,822.1,832.1,DE08,1902,295.7,DSS,1948,288,1911.5,298.39
DE08,1885,837.2,847.5,DE08,1902,295,DE08-2,1949,290.3,1914,300.35
DSS,1885,845.7,856,DE08,1904,295.1,DE08,1949,286.9,1918.6,303.27
DE08,1887,841.6,851.8,DE08,1909,300.4,DSS,1949,288,1919,303.55
DE08,1890,843.5,853.8,DE08,1912,298.4,DE08,1950,287.3,1923,303.2
DE08,1890,844,854.3,DE08,1914,300,DE08,1953,286.3,1923.6,305.2
DE08,1895,857.4,867.9,DE08,1914,300.7,DE08,1954,288.3,1928.8,307.77
DE08-2,1897,850.7,861.1,DE08,1919,303.3,DE08,1955,290.3,1929,305.72
DE08,1900,862.4,872.9,DE08,1919,303.6,DE08,1957,292.2,1933,307.21
DE08,1900,869,879.6,DE08,1923,303.2,DE08,1958,292.2,1934.5,307.82
DE08,1903,867,877.6,DE08,1924,305.2,DE08,1959,292.8,1936.5,308.99
DE08,1903,868.7,879.2,DE08,1929,307.8,DSS,1961,291.1,1938,309.56
DE08,1905,884.5,895.3,DE08,1929,305.7,DSSW20K,1962.9,291.2,1939,310.94
DE08,1910,934.5,945.9,DE08,1933,307.2,DE08,1963,294.4,1940,311.9
DE08,1913,916.2,927.4,DE08,1935,307.8,DE08,1964,293.4,1941,310.7
DE08,1915,916.7,927.9,DE08,1937,309,DE08,1966,292.5,1941.5,310.3
DE08,1915,925.5,936.8,DE08,1938,309.6,DE08,1966,292.5,1942,311.29
DE08,1920,959.3,971,DE08,1939,310.9,DE08,1969,292.9,1943,310.77
DE08,1920,960.8,972.5,DE08-2,1940,311.9,DSSW20K,1970,295.3,1944,311.59
DE08,1924,980.2,992.1,DE08,1941,310.7,DE08-2,1971,296.4,1945,309.75
DE08,1925,993.1,1005.2,DE08-2,1942,310.3,DE08-2,1972,298.4,1946,311.46
DE08,1930,1014.7,1027.1,DE08,1942,310.9,DE08-2,1974,297.1,1947,310.75
DE08,1930,1011.6,1023.9,DE08,1942,311.6,DE08-2,1976,300,1948,310.47
DE08,1934,1029,1041.5,DSSW20K,1942.1,312.3,DE08-2,1979,300.3,1949,311.15
DE08,1936,1040.9,1053.6,DE08,1943,310.5,DE08-2,1979,304.5,1950,312.55
DE08,1938,1052.4,1065.3,DE08,1943,311,DSSW20K,1983.7,303.6,1953,312.06
DE08,1939,1058.2,1071.2,DE08-2,1944,311.4,DSSW20K,1989.8,307.5,1954,311.68
DE08,1939,1059.1,1072,DE08-2,1944,312.1,DSSW20K,1992.4,309.6,1955,313.64
DE08,1940,1063.3,1076.3,DE08,1944,311.3,DSSW20K,1994.5,310.9,1957,314.04
DE08-2,1941,1060.1,1073,DE08,1945,309.7,DSSW20K,1996.5,312.3,1958,314.59
DE08,1942,1072.8,1085.9,DE08,1946,311.5,,,,1959,315.39
DE08-2,1943,1085.5,1098.7,DE08-2,1947,310.8,,,,1960,316.3
DE08,1943,1069.5,1082.5,DE08,1947,310,,,,1961,316.97
DE08,1943,1071.1,1084.2,DE08,1947,311.5,,,,1962,317.76
DE08,1944,1075.6,1088.7,DE08,1948,310.5,,,,1963,318.34
DE08,1944,1075.7,1088.8,DE08,1949,311.2,,,,1964,318.92
DSSW20K,1944.2,1072.3,1085.4,DE08,1950,312.6,,,,1965,319.29
DE08-2,1945,1072.9,1086,DE08,1953,312.1,,,,1966,320.45
DE08-2,1945,1079.9,1093,DE08,1954,311.7,,,,1967,321.44
DE08,1945,1076.6,1089.7,DE08,1955,313.5,,,,1968,322.06
DE08,1946,1082.8,1096,DE08,1955,313.8,,,,1969,323.15
DE08,1947,1080.5,1093.7,DSSW20K,1956.1,316.3,,,,1970,324.48
DE08-2,1948,1094.4,1107.7,DE08,1957,314,,,,1971,325.4
DE08,1948,1090.9,1104.2,DE08,1958,314.4,,,,1972,326.09
DE08,1948,1091.5,1104.9,DE08,1959,316.3,,,,1973,327.68
DE08,1949,1097.5,1110.9,DE08,1964,319,,,,1974,329.18
DE08,1950,1108.5,1122,DE08-2,1967,322.9,,,,1975,329.76
DE08,1951,1106.5,1120,DSSW20K,1970,324.8,,,,1976,330.89
DE08,1953,1130.2,1144,DE08-2,1973,326.4,,,,1977,332.04
DE08,1953,1131,1144.8,DE08,1973,329.2,,,,1978,333.88
DE08,1954,1137.6,1151.5,DSSW20K,1983.7,341.2,,,,1979,335.2
DE08,1955,1139.5,1153.4,DSSW20K,1989.8,349.7,,,,1980,336.9
DE08,1956,1151.1,1165.2,DSSW20K,1992.4,353.6,,,,1981,338.58
DE08,1956,1162.2,1176.4,DSSW20K,1994.5,356.9,,,,1982,339.66
DE08,1958,1174,1188.3,DSSW20K,1996.5,359.5,,,,1983,340.9
DSSW20K,1958.3,1177.1,1191.5,,,,,,,1984,342.89
DE08,1959,1191.7,1206.2,,,,,,,1985,344.14
DE08,1960,1205.9,1220.6,,,,,,,1986,345.54
DE08,1965,1260.7,1276.1,,,,,,,1987,346.95
DE08-2,1968,1306.6,1322.5,,,,,,,1988,349.19
DSSW20K,1972.1,1352.3,1368.8,,,,,,,1989,351.06
DE08-2,1974,1404.6,1421.7,,,,,,,1990,352.29
DE08,1974,1399.6,1416.6,,,,,,,1991,353.77
DSSW20K,1985.8,1568.9,1588,,,,,,,1992,354.86
DSSW20K,1991.5,1643.5,1663.6,,,,,,,1993,355.69
DSSW20K,1993.6,1662.8,1683.1,,,,,,,1994,356.77
DSSW20K,1995.3,1681.6,1702.1,,,,,,,1995,358.68
,,,,,,,,,,1996,360.58
,,,,,,,,,,1997,361.83
,,,,,,,,,,1998,363.63
,,,,,,,,,,1999,366.36
,,,,,,,,,,2000,367.6
,,,,,,,,,,2001,368.91
,,,,,,,,,,2002,370.69
,,,,,,,,,,2003,373.1
,,,,,,,,,,2004,375.19
,,,,,,,,,,2005,376.94
,,,,,,,,,,2006,379.29
,,,,,,,,,,2007,381.01
,,,,,,,,,,2008,383.07
,,,,,,,,,,2009,384.82
,,,,,,,,,,2010,386.73
,,,,,,,,,,2011,388.92
,,,,,,,,,,2012,390.71
,,,,,,,,,,2013,393.31
,,,,,,,,,,2014,395.88
,,,,,,,,,,2015,397.83
,,,,,,,,,,2016,400.78
,,,,,,,,,,2017,403.58
,,,,,,,,,,2018,405.63
