Country,ID,Year,Capacity,Exposure,Sensitivity,Vulnerability,Economic,Governance,Social,Readiness
AFG,1,1995,0.889263983,0.480512048,0.497997988,0.625410281,0.138241425,0.138770504,0.297731458,0.191581129
AFG,1,1996,0.887434106,0.480512048,0.498532428,0.624875705,0.138241425,0.138770504,0.297731458,0.191581129
AFG,1,1997,0.885590157,0.480512048,0.49903358,0.624322977,0.138241425,0.143071438,0.297731458,0.193014774
AFG,1,1998,0.879238454,0.480512048,0.499390203,0.621893455,0.138241425,0.147372372,0.297731458,0.194448419
AFG,1,1999,0.87285209,0.480512048,0.499622156,0.619408495,0.138241425,0.1421714,0.297731458,0.192714761
AFG,1,2000,0.866239907,0.480512048,0.499828689,0.616874537,0.138241425,0.136970428,0.297731458,0.190981104
AFG,1,2001,0.859237425,0.480512048,0.500940041,0.614687789,0.138241425,0.156636713,0.297729281,0.197535806
AFG,1,2002,0.850601884,0.480512048,0.497871132,0.611133395,0.138241425,0.176302997,0.297776933,0.204107119
AFG,1,2003,0.841151782,0.480512048,0.493454218,0.607275798,0.138241425,0.188225221,0.298131979,0.208199542
AFG,1,2004,0.828803736,0.480512048,0.498271799,0.606035534,0.138241425,0.173623236,0.298744627,0.20353643
AFG,1,2005,0.816157657,0.480512048,0.523811277,0.611649688,0.138241425,0.17317399,0.302012749,0.204476055
AFG,1,2006,0.806449326,0.480512048,0.567189147,0.622282086,0.14129864,0.155826234,0.306086766,0.201070546
AFG,1,2007,0.796628621,0.480512048,0.556025334,0.617266378,0.141270696,0.139502774,0.310325913,0.197033128
AFG,1,2008,0.779619576,0.480512048,0.556340015,0.613258952,0.179409152,0.126093616,0.316040918,0.207181229
AFG,1,2009,0.763437422,0.480512048,0.556505544,0.608648484,0.173939537,0.129345178,0.322175977,0.208486897
AFG,1,2010,0.754238425,0.480512048,0.572745311,0.607850131,0.213811852,0.136264915,0.321647506,0.223908091
AFG,1,2011,0.734131749,0.480512048,0.552217971,0.599918117,0.180727012,0.139933301,0.326542369,0.215734227
