Year,Fit,Temperature_C ,Uncertainty_C_1 sig),Decade Change,Dec_Year,Temp
1753.25,8.3311167,8.5418081,0.815040173,0.0229502,1770,8.3291426
1753.333333,8.3311167,8.6178389,0.815348517,0.0363149,1780,8.3654575
1753.416667,8.3311157,8.4374771,0.812179276,-0.1110048,1790,8.2544527
1753.5,8.3311148,8.1019201,0.906493434,0.1409597,1800,8.3954124
1753.583333,8.3311138,8.1585722,0.879391265,-0.6371531,1810,7.7582593
1753.666667,8.3311129,8.0286331,0.856554816,0.3185792,1820,8.0768385
1753.75,8.3311119,7.7760577,0.844775698,0.3653459,1830,8.4421844
1753.833333,8.331111,7.9026299,0.928516916,-0.1194963,1840,8.3226881
1753.916667,8.33111,7.9884963,0.888142627,0.1528664,1850,8.4755545
1754,8.331109,8.0020781,0.924056829,0.0207557,1860,8.4963102
1754.083333,8.331109,7.9616032,0.931461379,0.0182286,1870,8.5145388
1754.166667,8.3311081,7.9614892,0.893551102,0.0379495,1880,8.5524883
1754.25,8.3311071,7.9284043,0.829145655,0.0120335,1890,8.5645218
1754.333333,8.3311052,7.9431477,0.817139816,0.0625439,1900,8.6270657
1754.416667,8.3311043,8.0213776,0.762877389,0.0580234,1910,8.6850891
1754.5,8.3311043,8.3312759,0.845834916,0.0285053,1920,8.7135944
1754.583333,8.3311043,8.1640787,0.90528074,0.0430556,1930,8.75665
1754.666667,8.3311033,8.1054592,0.949480709,0.0759048,1940,8.8325548
1754.75,8.3311033,8.0956869,0.966402114,0.0163031,1950,8.8488579
1754.833333,8.3311024,8.056159,0.868909959,0.0842762,1960,8.9331341
1754.916667,8.3311024,8.0026236,0.922277908,0.0875492,1970,9.0206833
1755,8.3311033,8.0757189,0.96277122,0.1800747,1980,9.200758
1755.083333,8.3211966,8.3181343,0.878743548,0.2118749,1990,9.4126329
1755.166667,8.3115721,8.337203,0.862350168,0.17867,2000,9.5913029
1755.25,8.3022223,8.3320847,0.90236855,0.2573728,2010,9.8486757
1755.333333,8.2931385,8.2367582,0.982366444,,,
1755.416667,8.2843132,8.2178726,1.078810026,,,
1755.5,8.2757397,8.0765505,1.010624908,,,
1755.583333,8.2674103,8.4127169,1.047333436,,,
1755.666667,8.2593193,8.8761091,1.187149617,,,
1755.75,8.2514572,8.984581,1.137554343,,,
1755.833333,8.2438202,8.9030113,1.168234169,,,
1755.916667,8.2364006,8.8179731,1.124748431,,,
1756,8.2291937,8.8004026,1.082199308,,,
1756.083333,8.2320967,8.6204624,1.038276361,,,
1756.166667,8.2349186,8.5309048,1.057321497,,,
1756.25,8.2376614,8.5950184,1.033949054,,,
1756.333333,8.2403259,8.5692511,0.956176455,,,
1756.416667,8.2429142,8.3871384,0.911398267,,,
1756.5,8.24543,8.26544,0.883893894,,,
1756.583333,8.2478743,7.8992476,0.820442408,,,
1756.666667,8.2502489,7.7236228,0.808646714,,,
1756.75,8.2525568,7.7062721,0.841836182,,,
1756.833333,8.2547998,7.7682471,0.869760095,,,
1756.916667,8.256979,7.8323693,0.909729104,,,
1757,8.2590971,7.9406114,0.917795239,,,
1757.083333,8.2611561,8.1798906,0.978679994,,,
1757.166667,8.2631559,8.3388252,1.066789413,,,
1757.25,8.2650986,8.4292936,1.0608804,,,
1757.333333,8.2669888,8.2151728,0.994030033,,,
1757.416667,8.2688236,8.3691626,0.996187071,,,
1757.5,8.270607,8.4081507,0.957751556,,,
1757.583333,8.2723417,8.2947693,0.881115317,,,
1757.666667,8.2740269,8.0758972,0.85232115,,,
1757.75,8.2756653,7.9962106,0.849358804,,,
1757.833333,8.277257,7.8325696,0.778594998,,,
1757.916667,8.2788038,7.7528057,0.720966973,,,
1758,8.2803078,7.5521102,0.672326966,,,
1758.083333,8.2817698,7.248939,0.613467208,,,
1758.166667,8.2831907,7.1270633,0.557188604,,,
1758.25,8.2845726,6.8877044,0.534733617,,,
1758.333333,8.2859154,6.8056412,0.523093194,,,
1758.416667,8.287221,6.7601237,0.533138006,,,
1758.5,8.2884903,6.7987142,0.591482661,,,
1758.583333,8.2897243,7.2042317,0.721356389,,,
1758.666667,8.2909231,7.4727721,0.740179635,,,
1758.75,8.2920895,7.5635285,0.746206034,,,
1758.833333,8.2932243,7.5905747,0.738596342,,,
1758.916667,8.2943268,7.5488114,0.737802823,,,
1759,8.2953997,7.5940585,0.734282199,,,
1759.083333,8.296442,7.6691623,0.712803363,,,
1759.166667,8.2974558,7.8073387,0.743059599,,,
1759.25,8.2984419,7.9766183,0.741091725,,,
1759.333333,8.2994013,8.3126984,0.776096839,,,
1759.416667,8.300334,8.2136078,0.759015103,,,
1759.5,8.3012419,7.9358292,0.729878213,,,
1759.583333,8.302124,7.4993281,0.681290499,,,
1759.666667,8.3029833,7.3900552,0.636656956,,,
1759.75,8.3038187,7.2154613,0.584336032,,,
1759.833333,8.3046322,7.2288785,0.56457438,,,
1759.916667,8.3054228,7.2844033,0.570371567,,,
1760,8.3061924,7.1863456,0.590042668,,,
