Year,sea_level
0,-0.10454
20,-0.09851
40,-0.09551
60,-0.09391
80,-0.09204
100,-0.08899
120,-0.08091
140,-0.07365
160,-0.07204
180,-0.06941
200,-0.06222
220,-0.05467
240,-0.05219
260,-0.05661
280,-0.06306
300,-0.06461
320,-0.05488
340,-0.03838
360,-0.02807
380,-0.0297
400,-0.03779
420,-0.04631
440,-0.05395
460,-0.06329
480,-0.07143
500,-0.07356
520,-0.06598
540,-0.05348
560,-0.04732
580,-0.05149
600,-0.06157
620,-0.06925
640,-0.06803
660,-0.05806
680,-0.0431
700,-0.03342
720,-0.03664
740,-0.04642
760,-0.05626
780,-0.0651
800,-0.07219
820,-0.07887
840,-0.08568
860,-0.08748
880,-0.08069
900,-0.07183
920,-0.064
940,-0.05524
960,-0.04669
980,-0.04051
1000,-0.04391
1020,-0.05283
1040,-0.06188
1060,-0.07186
1080,-0.08526
1100,-0.10384
1120,-0.12149
1140,-0.12736
1160,-0.12647
1180,-0.1265
1200,-0.12046
1220,-0.11004
1240,-0.10543
1260,-0.10986
1280,-0.11843
1300,-0.1242
1320,-0.12746
1340,-0.12972
1360,-0.12988
1380,-0.13108
1400,-0.13466
1420,-0.13793
1440,-0.1361
1460,-0.12807
1480,-0.11361
1500,-0.09928
1520,-0.09011
1540,-0.08253
1560,-0.07528
1580,-0.07297
1600,-0.07649
1620,-0.0843
1640,-0.08996
1660,-0.09374
1680,-0.10031
1700,-0.10992
1720,-0.11499
1740,-0.11162
1760,-0.11067
1780,-0.11961
1800,-0.13155
1810,-0.13641
1820,-0.13957
1830,-0.14198
1840,-0.14458
1850,-0.14849
1860,-0.15071
1870,-0.14699
1880,-0.14416
1890,-0.14325
1900,-0.13433
1910,-0.12306
1920,-0.11434
1930,-0.1028
1940,-0.08486
1950,-0.0659
1960,-0.05558
1970,-0.04127
1980,-0.02852
1990,-0.01472
2000,0.00321
2010,0.02187
